Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
36	2.9166666666666665	105	62	43	0
37	3.027027027027027	112	67	45	0
36	3.0	108	61	47	0
37	3.0	111	61	50	0
34	3.0	102	58	43	1
34	2.9411764705882355	100	59	41	0
38	3.026315789473684	115	67	48	0
38	3.0	114	67	47	0
36	2.9444444444444446	106	65	41	0
35	2.9714285714285715	104	65	39	0
36	3.0277777777777777	109	66	43	0
36	2.9722222222222223	107	63	44	0
35	3.0285714285714285	106	53	53	0
35	2.9714285714285715	104	57	47	0
39	3.051282051282051	119	70	47	2
36	3.0	108	62	46	0
36	3.0	108	65	43	0
37	3.081081081081081	114	62	52	0
36	3.0277777777777777	109	64	45	0
36	2.9722222222222223	107	64	43	0
38	3.0789473684210527	117	68	48	1
35	2.9714285714285715	104	64	40	0
35	2.942857142857143	103	63	40	0
36	2.9444444444444446	106	60	46	0
37	2.972972972972973	110	66	44	0
35	3.0	105	65	40	0
39	2.923076923076923	114	71	43	0
35	3.1142857142857143	109	60	49	0
34	3.0294117647058822	103	59	44	0
35	3.0285714285714285	106	52	54	0
36	2.9722222222222223	107	56	51	0
37	3.027027027027027	112	59	53	0
36	3.0	108	65	43	0
36	3.0277777777777777	109	68	41	0
36	3.0	108	64	43	1
37	2.945945945945946	109	68	41	0
37	2.972972972972973	110	67	43	0
37	2.945945945945946	109	61	48	0
37	3.027027027027027	112	69	43	0
36	2.9722222222222223	107	64	43	0
36	2.9722222222222223	107	64	43	0
36	3.0277777777777777	109	68	41	0
36	2.9722222222222223	107	68	38	1
36	2.9722222222222223	107	63	42	2
40	3.025	121	69	52	0
37	2.972972972972973	110	60	50	0
36	3.0	108	66	42	0
37	2.972972972972973	110	65	45	0
34	2.9411764705882355	100	53	47	0
38	3.0	114	64	50	0
35	2.914285714285714	102	63	38	1
36	3.0277777777777777	109	57	51	1
37	3.0	111	64	47	0
37	3.0	111	64	47	0
38	3.1315789473684212	119	72	47	0
36	3.0555555555555554	110	65	45	0
36	3.0277777777777777	109	66	43	0
35	3.0285714285714285	106	61	45	0
35	3.0285714285714285	106	60	46	0
36	3.0555555555555554	110	62	48	0
38	3.0	114	63	51	0
33	2.9393939393939394	97	56	41	0
33	3.0303030303030303	100	54	46	0
38	2.9210526315789473	111	66	45	0
34	2.9411764705882355	100	54	46	0
37	3.027027027027027	112	75	37	0
36	2.9722222222222223	107	67	40	0
39	3.0256410256410255	118	69	49	0
36	3.0	108	68	39	1
35	2.9714285714285715	104	60	44	0
37	2.972972972972973	110	64	46	0
36	3.0277777777777777	109	67	42	0
36	2.9722222222222223	107	61	46	0
37	3.054054054054054	113	66	47	0
38	3.0789473684210527	117	68	49	0
35	3.0	105	60	45	0
37	3.054054054054054	113	66	46	1
37	2.918918918918919	108	66	42	0
37	2.972972972972973	110	69	41	0
37	2.945945945945946	109	65	44	0
34	2.9705882352941178	101	57	43	1
35	2.9714285714285715	104	57	47	0
35	2.9714285714285715	104	60	44	0
37	3.0	111	69	42	0
37	3.027027027027027	112	68	44	0
34	3.0	102	56	46	0
36	3.0277777777777777	109	67	42	0
37	2.945945945945946	109	63	46	0
34	3.0	102	57	44	1
36	3.0277777777777777	109	65	44	0
36	2.9722222222222223	107	58	49	0
35	3.0	105	58	47	0
38	2.9473684210526314	112	76	36	0
36	2.9166666666666665	105	65	39	1
36	2.9444444444444446	106	71	35	0
34	3.0588235294117645	104	66	38	0
35	3.057142857142857	107	66	41	0
35	3.0	105	60	45	0
35	3.057142857142857	107	62	45	0
38	3.0	114	66	48	0
35	2.9714285714285715	104	56	48	0
38	2.9473684210526314	112	69	43	0
39	3.0	117	67	50	0
36	3.0555555555555554	110	65	45	0
35	3.0	105	64	40	1
37	3.0	111	62	49	0
35	3.0	105	59	46	0
37	2.972972972972973	110	67	43	0
36	2.9722222222222223	107	64	43	0
36	3.0	108	65	43	0
35	2.942857142857143	103	60	43	0
37	3.027027027027027	112	63	49	0
35	3.0	105	65	40	0
37	3.0	111	70	41	0
38	3.0	114	67	47	0
38	2.9210526315789473	111	68	43	0
39	2.9743589743589745	116	68	48	0
38	3.0	114	71	43	0
37	3.027027027027027	112	65	47	0
33	3.0303030303030303	100	58	42	0
36	3.0277777777777777	109	73	34	2
38	3.0	114	76	37	1
39	3.0256410256410255	118	70	48	0
36	3.0	108	60	48	0
35	3.0	105	57	48	0
37	2.972972972972973	110	66	44	0
36	3.0	108	66	41	1
34	3.0	102	67	34	1
34	2.9705882352941178	101	61	39	1
37	2.972972972972973	110	63	47	0
34	3.1470588235294117	107	61	46	0
39	2.9743589743589745	116	70	46	0
36	3.0	108	56	52	0
36	3.0555555555555554	110	62	48	0
