Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
18	2.9444444444444446	53	35	18	0
17	2.823529411764706	48	32	15	1
17	3.0	51	37	13	1
19	2.8947368421052633	55	37	18	0
19	2.8421052631578947	54	36	17	1
19	2.789473684210526	53	37	15	1
18	2.6666666666666665	48	33	15	0
16	2.875	46	33	13	0
16	3.0	48	34	14	0
19	2.8421052631578947	54	37	17	0
17	2.9411764705882355	50	30	20	0
18	2.8333333333333335	51	32	19	0
17	2.8823529411764706	49	31	18	0
16	2.875	46	34	12	0
18	2.888888888888889	52	36	16	0
19	2.789473684210526	53	36	17	0
19	2.789473684210526	53	38	14	1
17	2.823529411764706	48	31	17	0
19	2.8947368421052633	55	36	18	1
18	2.8333333333333335	51	33	18	0
17	2.9411764705882355	50	34	16	0
17	2.8823529411764706	49	33	16	0
17	2.823529411764706	48	31	17	0
19	2.8421052631578947	54	37	16	1
18	2.7777777777777777	50	36	14	0
17	2.8823529411764706	49	33	16	0
18	3.0	54	38	16	0
20	2.85	57	35	22	0
19	2.9473684210526314	56	37	19	0
18	2.7777777777777777	50	33	17	0
18	2.888888888888889	52	31	20	1
17	2.9411764705882355	50	36	13	1
16	2.625	42	31	11	0
18	2.6666666666666665	48	33	14	1
18	2.7222222222222223	49	33	16	0
18	3.0	54	39	14	1
17	3.0588235294117645	52	34	17	1
18	2.8333333333333335	51	34	17	0
18	2.888888888888889	52	34	18	0
19	2.736842105263158	52	34	18	0
16	2.875	46	32	14	0
17	2.764705882352941	47	33	14	0
18	3.0	54	37	17	0
18	2.8333333333333335	51	35	15	1
18	2.7777777777777777	50	34	16	0
20	2.65	53	40	13	0
18	2.8333333333333335	51	37	14	0
16	2.875	46	29	14	3
18	2.888888888888889	52	38	14	0
17	2.764705882352941	47	34	11	2
18	2.9444444444444446	53	36	17	0
16	3.0625	49	36	11	2
18	2.8333333333333335	51	35	15	1
18	2.888888888888889	52	39	13	0
18	3.0	54	35	19	0
18	2.888888888888889	52	36	16	0
18	2.7777777777777777	50	33	16	1
17	2.8823529411764706	49	35	14	0
17	3.0	51	35	16	0
18	2.8333333333333335	51	35	16	0
17	2.8823529411764706	49	34	15	0
17	2.9411764705882355	50	31	19	0
17	3.0	51	35	16	0
18	2.9444444444444446	53	38	15	0
17	2.9411764705882355	50	32	18	0
19	2.8421052631578947	54	38	15	1
16	2.8125	45	29	16	0
17	2.764705882352941	47	32	15	0
17	2.823529411764706	48	35	12	1
16	2.9375	47	36	11	0
18	2.888888888888889	52	39	13	0
16	3.0	48	37	11	0
17	2.764705882352941	47	33	14	0
17	3.0	51	36	14	1
19	2.9473684210526314	56	37	19	0
17	2.8823529411764706	49	32	17	0
18	2.7222222222222223	49	30	19	0
19	2.8421052631578947	54	40	12	2
18	2.888888888888889	52	34	18	0
18	2.611111111111111	47	32	15	0
18	2.8333333333333335	51	34	17	0
18	2.888888888888889	52	37	15	0
17	2.764705882352941	47	34	13	0
17	2.8823529411764706	49	33	16	0
16	2.875	46	32	14	0
16	3.0	48	33	15	0
18	2.9444444444444446	53	36	17	0
17	2.764705882352941	47	33	14	0
17	2.9411764705882355	50	37	13	0
19	2.8947368421052633	55	31	24	0
18	2.8333333333333335	51	38	13	0
19	3.0526315789473686	58	44	13	1
19	2.6842105263157894	51	37	12	2
18	2.888888888888889	52	40	12	0
16	2.875	46	35	9	2
17	2.7058823529411766	46	32	14	0
16	2.6875	43	28	15	0
18	2.888888888888889	52	39	11	2
15	2.8666666666666667	43	31	12	0
